,frame,keypoint,x,y,z
168,8,left_0000,-593.6918217353207,-50.353943511103665,1424.606210261135
169,8,left_0001,-629.7729908276968,-46.529111812540165,1444.4007776607586
170,8,left_0002,-643.7960813544078,-23.990590340956516,1469.2206450152528
171,8,left_0003,-644.8117618168867,-0.06575978667252877,1497.6921322220496
172,8,left_0004,-649.9361815247956,15.092195738157876,1519.996186041824
173,8,left_0005,-624.4443722983857,20.20842795824432,1461.076857966277
174,8,left_0006,-632.851758685036,41.657044774649876,1499.2267914635877
175,8,left_0007,-633.9052531419578,44.339236929026534,1526.1826155460244
176,8,left_0008,-628.2581830207964,43.27168767297778,1548.9017015892427
177,8,left_0009,-593.9021003239712,26.598281272931583,1471.5921310602332
178,8,left_0010,-602.730004018808,43.624852729479535,1507.7239249056145
179,8,left_0011,-603.4772380804894,43.813241076806264,1534.1482156774719
180,8,left_0012,-594.6146849090084,42.297492394072464,1561.1598879504904
181,8,left_0013,-565.0428872616322,26.33748753847449,1486.093617670289
182,8,left_0014,-572.7636318484047,41.53128728604129,1519.6703579701546
183,8,left_0015,-575.210101430075,42.87514174494151,1543.0011006971536
184,8,left_0016,-569.771226593989,41.28596436225341,1566.3318883292482
185,8,left_0017,-542.940360581138,22.081148950930753,1499.5426375311613
186,8,left_0018,-548.8331830764477,37.178566977987906,1528.1096159206916
187,8,left_0019,-550.6957829057068,40.169805369196965,1549.4446311637387
188,8,left_0020,-545.6179125933218,39.11807010313313,1570.176677267889
189,9,left_0000,-593.5635359710072,-48.14162700617795,1416.7457256241132
190,9,left_0001,-630.048794312354,-45.399212917853625,1436.4521376586813
191,9,left_0002,-644.3062042534476,-23.04095865913344,1461.5990357188923
192,9,left_0003,-642.7297948090704,1.3670919067426208,1491.878202652602
193,9,left_0004,-646.2139415859021,17.079633657799686,1514.2776396665954
194,9,left_0005,-627.6123111384287,21.700554149734568,1451.8560613404425
195,9,left_0006,-634.6361524744189,41.94368423809712,1492.7714637879642
196,9,left_0007,-636.1287462656594,43.77854210704262,1518.5420798697478
197,9,left_0008,-631.6088228329015,42.87616376842651,1539.770885579484
198,9,left_0009,-597.8778024539632,28.37497860200696,1461.6941576607303
199,9,left_0010,-607.7197587963144,41.25086627405787,1499.112374046733
200,9,left_0011,-608.4766249374891,39.33919086685816,1525.257925815817
201,9,left_0012,-600.0030911502582,36.96495511876196,1551.3616701877854
202,9,left_0013,-570.1797536232359,27.82863626786269,1474.6597425624607
203,9,left_0014,-578.7181742522431,37.916673722296565,1510.270163841912
204,9,left_0015,-580.3704096182125,36.50044517448666,1533.5708315205657
205,9,left_0016,-574.3572700365019,33.27258682124829,1555.7757317242992
206,9,left_0017,-547.5519383180932,23.578281944258503,1487.3013899014459
207,9,left_0018,-554.4345124226182,33.15758737350015,1516.8202981370002
208,9,left_0019,-557.80789433609,32.49952471260991,1536.7026761142226
209,9,left_0020,-554.4644525963027,28.694374076863863,1554.8950953459578
210,10,left_0000,-596.2406249157148,-47.96194967202361,1405.60408848795
211,10,left_0001,-628.939338563066,-47.21351767491508,1428.7360661993173
212,10,left_0002,-642.4266790127595,-25.78226209510288,1456.677573873402
213,10,left_0003,-643.8012625030867,-1.7444041157404253,1483.6653061287145
214,10,left_0004,-647.2389408056601,13.917942474268978,1505.6820273678136
215,10,left_0005,-630.7483458375345,17.062425605304384,1443.7869213364208
216,10,left_0006,-636.9585952556647,39.549026050400066,1483.4229328367787
217,10,left_0007,-637.2810808521855,42.7921456033591,1509.6203208197628
218,10,left_0008,-631.9270886136233,42.72258886877413,1530.9194626115145
219,10,left_0009,-602.6465382426867,26.714965790175516,1450.3926519117388
220,10,left_0010,-610.6911948865061,43.26567929012459,1488.831251466064
221,10,left_0011,-610.7374439935193,43.13158780275765,1515.5047266484653
222,10,left_0012,-602.4149804640016,41.1005318695442,1540.7199237092057
223,10,left_0013,-574.4818812378171,29.663004720961087,1462.3042015611363
224,10,left_0014,-580.9850007882146,43.86775002089985,1498.9656339408048
225,10,left_0015,-580.4810260627457,45.09574111438764,1524.2000312834575
226,10,left_0016,-572.1773929129715,43.93448564631658,1548.6331712176889
227,10,left_0017,-549.7291413556095,28.511114198946775,1476.2465058412572
228,10,left_0018,-553.2111435316607,42.271600164239096,1508.5912497159256
229,10,left_0019,-553.2583112481615,44.99283118594522,1531.6187010301144
230,10,left_0020,-547.5265464524268,43.8687528876899,1552.3846815159395
231,11,left_0000,-594.2887324887616,-45.69692038020862,1401.269493444919
232,11,left_0001,-630.0341383229875,-48.214387582818986,1422.9792942989488
233,11,left_0002,-643.9188907969025,-27.088638445578432,1451.7186660645557
234,11,left_0003,-643.7118204831918,-2.293069413928314,1480.8568132484975
235,11,left_0004,-644.9531523849453,14.030502555712822,1504.4562249429507
236,11,left_0005,-631.3295161726628,16.6712956240202,1442.1048870344011
237,11,left_0006,-636.8884334434299,38.995014945607196,1481.2731749377083
238,11,left_0007,-635.4306455226823,42.98902354596992,1508.0895686494227
239,11,left_0008,-629.2770263038369,43.82203018721728,1529.8638680523793
240,11,left_0009,-603.432297683896,27.38957714912737,1446.4120365430597
241,11,left_0010,-609.2370485181712,43.49264220021256,1486.6260831182497
242,11,left_0011,-604.1090917848251,43.724431849515085,1515.908768707061
243,11,left_0012,-590.0954794120911,42.851196459228724,1544.576449609742
244,11,left_0013,-574.9495823118585,30.82674884820539,1456.4712502216023
245,11,left_0014,-578.7541263274251,43.86234892250133,1495.6273471194113
246,11,left_0015,-571.6957472020156,44.84035274563003,1524.3652246246152
247,11,left_0016,-556.0979057941547,44.07834845745497,1552.8891405449838
248,11,left_0017,-549.0459345362161,30.193922902119613,1469.696075626612
249,11,left_0018,-549.9140438391894,42.272952359978994,1504.6729757433832
250,11,left_0019,-545.3328231651024,43.92751385329538,1529.2147734906443
251,11,left_0020,-533.4823712433532,42.85253128202127,1552.7756436184175
252,12,left_0000,-593.7661775407743,-45.1046989131984,1396.8102714731865
253,12,left_0001,-629.1660868762391,-49.171603122277006,1418.9091830653217
254,12,left_0002,-642.9897990466634,-28.511550903360156,1448.6443738520557
255,12,left_0003,-642.6182274087748,-3.425099442745176,1477.8665062710868
256,12,left_0004,-645.1714582130894,13.691365789490654,1502.3560967080646
257,12,left_0005,-629.6026276934856,16.794405392362524,1441.7538421722563
